gene,mutated_samples,dcb_mutated,dcb_wildtype,no_dcb_mutated,no_dcb_wildtype,dcb_mutation_fraction,no_dcb_mutation_fraction,odds_ratio_dcb,p_value,flag_gene,biology_panel,frequency_tier,q_value
KRI1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
LDLRAD1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
LRIF1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
MAJIN,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
MARCHF6,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
MARK3,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
MDH1B,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
MFSD2A,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
MMEL1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
MTX2,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
MYF6,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
NBPF3,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
NDUFA9,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
NEK9,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
NUDCD1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
OAT,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
OSBPL10,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
P4HA1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
PACSIN2,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
PAF1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
PCDHGA8,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
PMS2,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,DNA repair,low_frequency,0.8124185882767119
POLD1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,DNA repair,low_frequency,0.8124185882767119
POT1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
PPM1H,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
PRR30,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
SLC7A4,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
SMAD3,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
SMTNL2,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
SPMIP8,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
TAS2R16,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
TFB2M,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
