feature,n_dcb,n_no_dcb,median_dcb,median_no_dcb,rank_biserial_dcb_vs_no_dcb
CD8 T cells,13,26,0.065557146,0.0335529115,0.36094674556213024
Activated CD4 memory T cells,13,26,0.033394878,0.007920721,0.2721893491124261
Activated NK cells,13,26,0.006799164,0.0,0.2573964497041421
M1 macrophages,13,26,0.02332376,0.017353729499999998,0.20118343195266264
M2 macrophages,13,26,0.080348575,0.06337208350000001,0.1775147928994083
Regulatory T cells,13,26,0.0,0.0,-0.053254437869822535
Follicular helper T cells,0,0,,,
